Fighter Name,Date
Zach Scroggin,2024-11-09 00:00:00.000
Melissa Mullins,2024-11-09 00:00:00.000
Jorge Bueno,2024-11-02 00:00:00.000
Victor Hugo Silva,2024-10-26 00:00:00.000
Joselyne Edwards,2024-10-19 00:00:00.000
Jared Gooden,2024-10-12 00:00:00.000
Dan Argueta,2024-10-12 00:00:00.000
Ailin Perez,2024-09-28 00:00:00.000
Khuseyn Shaykhaev,2024-09-21 00:00:00.000
Costin  Buhna,2024-09-21 00:00:00.000
Kyle Nelson,2024-09-07 00:00:00.000
Dylan Budka,2024-09-07 00:00:00.000
Sergiusz Zajac,2024-08-24 00:00:00.000
Tokitaka Nakanishi,2024-08-23 00:00:00.000
Jonathan Piersma,2024-08-23 00:00:00.000
Jose Mariscal,2024-08-10 00:00:00.000
Danny Barlow,2024-08-10 00:00:00.000
Chelsea Chandler,2024-08-10 00:00:00.000
Liz Carmouche,2024-08-02 00:00:00.000
Jake Hadley,2024-07-27 00:00:00.000
Jean Silva,2024-06-29 00:00:00.000
Eduarda Moura,2024-06-08 00:00:00.000
Dee Begley,2024-06-08 00:00:00.000
Andre Lima,2024-06-01 00:00:00.000
Maurice Abevi,2024-05-03 00:00:00.000
David Onama,2024-04-27 00:00:00.000
James Llontop,2024-04-27 00:00:00.000
Jamie MacDonald,2024-04-20 00:00:00.000
Alexander Hernandez,2024-04-06 00:00:00.000
Melissa Mullins,2024-04-06 00:00:00.000
Sineadh  Ni Nuallain,2024-04-06 00:00:00.000
Daniel James,2024-04-04 00:00:00.000
Julio Arce,2024-03-30 00:00:00.000
Vikas Singh,2024-03-22 00:00:00.000
Natan Levy,2024-03-16 00:00:00.000
Chelsea Chandler,2024-03-16 00:00:00.000
Danny Silva,2024-03-16 00:00:00.000
Carlos Vergara,2024-03-09 00:00:00.000
Daniel Lacerda,2024-02-24 00:00:00.000
Ihor Potieria,2024-02-10 00:00:00.000
Kaiwen Li,2024-02-04 00:00:00.000
Luana Carolina,2024-02-03 00:00:00.000
Ramon Taveras,2024-01-20 00:00:00.000
Malcolm Gordon,2024-01-20 00:00:00.000
Luana Santos,2023-12-09 00:00:00.000
Ray Cooper III,2023-11-24 00:00:00.000
Lucas Alexander,2023-11-18 00:00:00.000
Roosevelt Roberts,2023-11-11 00:00:00.000
Jamall Emmers,2023-11-11 00:00:00.000
Eduarda Moura,2023-11-04 00:00:00.000
Mike Breeden,2023-10-21 00:00:00.000
Viktoriya Dudakova,2023-10-21 00:00:00.000
José Peñaloza,2023-10-19 00:00:00.000
Christian Rodriguez,2023-10-14 00:00:00.000
Piotr Niedzielski,2023-09-23 00:00:00.000
Shane Young,2023-09-09 00:00:00.000
Helena Kolesnyk,2023-08-18 00:00:00.000
Emrah Sonmez,2023-08-15 00:00:00.000
Tafon Nchukwi,2023-08-12 00:00:00.000
Josh Fremd,2023-08-12 00:00:00.000
Diana Avsaragova,2023-08-11 00:00:00.000
Dennis Buzukja,2023-08-05 00:00:00.000
Jesus Pinedo,2023-08-04 00:00:00.000
Vinicius Salvador,2023-07-29 00:00:00.000
Tom Mearns,2023-07-21 00:00:00.000
Jalin Turner,2023-07-08 00:00:00.000
Andre Lima,2023-07-07 00:00:00.000
Marcondes Bastos,2023-07-01 00:00:00.000
Loik Radzhabov,2023-06-24 00:00:00.000
Kleber Koike Erbst,2023-06-24 00:00:00.000
Wuziazibieke Jiahefu,2023-05-27 00:00:00.000
Vanessa Demopoulos,2023-05-20 00:00:00.000
Orion Cosce,2023-05-20 00:00:00.000
Bryan Battle,2023-05-13 00:00:00.000
Joseph Holmes,2023-05-06 00:00:00.000
Irina Alekseeva,2023-04-29 00:00:00.000
Hailey Cowan,2023-04-29 00:00:00.000
Ayadi Majdeddine,2023-04-28 00:00:00.000
DeAnna Bennett,2023-04-21 00:00:00.000
Cris Lencioni,2023-04-21 00:00:00.000
Chris Bungard,2023-04-15 00:00:00.000
Christian Rodriguez,2023-04-08 00:00:00.000
Lewis Monarch,2023-03-25 00:00:00.000
Malcolm Gordon,2023-03-18 00:00:00.000
Jared Gooden,2023-03-11 00:00:00.000
Cass Bell,2023-03-10 00:00:00.000
Geoff Neal,2023-03-04 00:00:00.000
Mana Martinez,2023-03-04 00:00:00.000
Angelo Foloti,2023-03-02 00:00:00.000
Takunda Gorimbo,2023-03-02 00:00:00.000
Leonardos Sinis,2023-02-25 00:00:00.000
Sandra Lavado,2023-02-24 00:00:00.000
Kleydson Rodrigues,2023-02-11 00:00:00.000
Zubaira Tukhugov,2023-02-11 00:00:00.000
Luis Muro,2023-02-10 00:00:00.000
Diana Avsaragova,2023-02-04 00:00:00.000
Evelyn Martins,2023-02-03 00:00:00.000
Ganbat Bayasgalan,2023-01-13 00:00:00.000
Yuma Horiuchi,2023-01-06 00:00:00.000
Hayisaer Maheshate,2022-12-17 00:00:00.000
Phil Rowe,2022-12-03 00:00:00.000
August Kayambala,2022-12-01 00:00:00.000
Ryan Spann,2022-11-12 00:00:00.000
Mike Trizano,2022-11-12 00:00:00.000
Grant Dawson,2022-11-05 00:00:00.000
Benito Lopez,2022-11-05 00:00:00.000
Carlos Candelario,2022-11-05 00:00:00.000
Ramona Pascual,2022-11-05 00:00:00.000
Joshua Weems,2022-10-29 00:00:00.000
Katlyn Chookagian,2022-10-22 00:00:00.000
Carlos Vergara,2022-10-15 00:00:00.000
Khamzat Chimaev,2022-09-10 00:00:00.000
Hakeem Dawodu,2022-09-10 00:00:00.000
Chris Barnett,2022-09-10 00:00:00.000
Joselyne Edwards,2022-07-30 00:00:00.000
Orion Cosce,2022-07-30 00:00:00.000
Tony Kelley,2022-06-18 00:00:00.000
Charles Oliveira,2022-05-07 00:00:00.000
Norma Dumont,2022-05-07 00:00:00.000
Rob Font,2022-04-30 00:00:00.000
Kay Hansen,2022-04-09 00:00:00.000
Julio Arce,2022-04-09 00:00:00.000
Zhu Rong,2022-02-26 00:00:00.000
Gabriel Benitez,2022-02-19 00:00:00.000
Steven Peterson,2022-02-05 00:00:00.000
Justin Tafa,2021-12-18 00:00:00.000
Sijara Eubanks,2021-12-18 00:00:00.000
Macy Chiasson,2021-12-18 00:00:00.000
Jared Scoggins,2021-12-03 00:00:00.000
Joel Alvarez,2021-11-13 00:00:00.000
Liana Jojua,2021-11-13 00:00:00.000
Bruno Souza,2021-11-06 00:00:00.000
Jared Gooden,2021-10-09 00:00:00.000
Mike Breeden,2021-10-02 00:00:00.000
Bethe Correia,2021-10-02 00:00:00.000
Zhu Rong,2021-09-18 00:00:00.000
Mana Martinez,2021-08-28 00:00:00.000
Saidyokub Kakhramonov,2021-08-21 00:00:00.000
Manel Kape,2021-08-07 00:00:00.000
Phil Rowe,2021-07-31 00:00:00.000
Irene Aldana,2021-07-10 00:00:00.000
Steven Peterson,2021-06-12 00:00:00.000
Juancamilo Ronderos,2021-05-22 00:00:00.000
Rogerio Bontorin,2021-05-15 00:00:00.000
Carlos Diego Ferreira,2021-05-08 00:00:00.000
Luana Carolina,2021-05-01 00:00:00.000
Tracy Cortez,2021-04-17 00:00:00.000
Ignacio Bahamondes,2021-04-10 00:00:00.000
Fabio Cherant,2021-03-28 00:00:00.000
Jesse Strader,2021-03-20 00:00:00.000
Askar Askarov,2021-03-06 00:00:00.000
Maxim Grishin,2021-02-28 00:00:00.000
Ketlen Vieira,2021-02-20 00:00:00.000
Jared Gordon,2021-02-20 00:00:00.000
Drako Rodriguez,2021-02-20 00:00:00.000
Karlee Pangilinan,2021-02-20 00:00:00.000
Arman Tsarukyan,2021-01-24 00:00:00.000
Ovince St Preux,2020-12-06 00:00:00.000
Mike Perry,2020-11-21 00:00:00.000
Jack Marshman,2020-10-31 00:00:00.000
Jason Witt,2020-10-31 00:00:00.000
Alex Oliveira,2020-10-24 00:00:00.000
Joel Alvarez,2020-10-24 00:00:00.000
Zubaira Tukhugov,2020-09-26 00:00:00.000
Ludovit Klein,2020-09-26 00:00:00.000
Gabrielle Holloway,2020-09-11 00:00:00.000
Amanda Bell,2020-09-11 00:00:00.000
Herbert Burns,2020-08-15 00:00:00.000
T.J. Brown,2020-08-15 00:00:00.000
Laureano Staropoli,2020-08-08 00:00:00.000
Jonathan Martinez,2020-08-01 00:00:00.000
Francisco Trinaldo,2020-07-25 00:00:00.000
Chris Fishgold,2020-07-15 00:00:00.000
Raulian Paiva,2020-07-11 00:00:00.000
Vanessa Melo,2020-07-11 00:00:00.000
Frank Camacho,2020-06-20 00:00:00.000
Jessica Eye,2020-06-13 00:00:00.000
Karl Roberson,2020-06-13 00:00:00.000
Zarrukh Adashev,2020-06-13 00:00:00.000
Brok Weaver,2020-05-30 00:00:00.000
Kevin Lee,2020-03-14 00:00:00.000
Deiveson Figueiredo,2020-02-29 00:00:00.000
Grant Dawson,2020-02-29 00:00:00.000
Ray Borg,2020-02-15 00:00:00.000
Jessica Eye,2019-12-15 00:00:00.000
Matt Sayles,2019-12-07 00:00:00.000
Jennifer Maia,2019-11-02 00:00:00.000
Deron Winn,2019-10-18 00:00:00.000
Manny Bermudez,2019-10-18 00:00:00.000
Khalid Taha,2019-10-05 00:00:00.000
Vanessa Melo,2019-09-21 00:00:00.000
Sarah Moras,2019-09-07 00:00:00.000
Yanan Wu,2019-08-31 00:00:00.000
Kevin Syler,2019-07-17 00:00:00.000
Bethe Correia,2019-05-11 00:00:00.000
Luis Pena,2019-03-23 00:00:00.000
Sarah Frota,2019-02-02 00:00:00.000
Montel Jackson,2018-12-29 00:00:00.000
Sijara Eubanks,2018-11-03 00:00:00.000
Renan Barao,2018-09-22 00:00:00.000
Michael Chiesa,2018-07-07 00:00:00.000
Julian Marquez,2018-07-07 00:00:00.000
Darren Till,2018-05-27 00:00:00.000
Molly McCann,2018-05-27 00:00:00.000
Mackenzie Dern,2018-05-12 00:00:00.000
Kevin Lee,2018-04-21 00:00:00.000
Alex Perez,2018-02-24 00:00:00.000
Yoel Romero,2018-02-10 00:00:00.000
Michel Prazeres,2018-02-04 00:00:00.000
Mads Burnell,2018-01-14 00:00:00.000
Josh Emmett,2017-12-16 00:00:00.000
Rolando Dy,2017-11-25 00:00:00.000
Jessica-Rose Clark,2017-11-18 00:00:00.000
Ryan Benoit,2017-11-18 00:00:00.000
Frank Camacho,2017-11-18 00:00:00.000
Nadia Kassem,2017-11-18 00:00:00.000
Sam Alvey,2017-10-21 00:00:00.000
Joanne Wood,2017-07-16 00:00:00.000
Johny Hendricks,2017-06-25 00:00:00.000
Jared Gordon,2017-06-25 00:00:00.000
Chan-Mi Jeon,2017-06-10 00:00:00.000
Darren Till,2017-05-28 00:00:00.000
Marcos Rogerio de Lima,2017-04-22 00:00:00.000
Gina Mazany,2017-02-19 00:00:00.000
Bec Rawlings,2017-02-04 00:00:00.000
Marcos Rogerio de Lima,2017-01-28 00:00:00.000
Ray Borg,2016-12-31 00:00:00.000
Johny Hendricks,2016-12-31 00:00:00.000
Anthony Pettis,2016-12-10 00:00:00.000
Rustam Khabilov,2016-12-10 00:00:00.000
Justine Kish,2016-12-09 00:00:00.000
Zak Cummings,2016-11-19 00:00:00.000
Charles Oliveira,2016-11-05 00:00:00.000
John Lineker,2016-10-01 00:00:00.000
Alex Oliveira,2016-10-01 00:00:00.000
Hacran Dias,2016-10-01 00:00:00.000
Michael McBride,2016-09-10 00:00:00.000
Chad Laprise,2016-08-27 00:00:00.000
Randa Markos,2016-06-18 00:00:00.000
Charles Oliveira,2015-12-19 00:00:00.000
Frank Trevino,2015-10-03 00:00:00.000
Joe Riggs,2015-09-05 00:00:00.000
Maximo Blanco,2015-07-12 00:00:00.000
Jeremy Stephens,2015-07-11 00:00:00.000
Lewis Gonzalez,2015-06-27 00:00:00.000
Yancy Medeiros,2015-06-06 00:00:00.000
Leonardo Morales,2015-06-06 00:00:00.000
Royston Wee,2015-05-16 00:00:00.000
Daron Cruickshank,2015-03-14 00:00:00.000
Patrick Walsh,2015-02-14 00:00:00.000
James Moontasri,2015-02-14 00:00:00.000
Kelvin Gastelum,2015-01-31 00:00:00.000
John Lineker,2015-01-31 00:00:00.000
Paul Redmond,2015-01-24 00:00:00.000
Alexis Dufresne,2015-01-03 00:00:00.000
Nate Diaz,2014-12-13 00:00:00.000
Charles Oliveira,2014-12-12 00:00:00.000
Ronny Markes,2014-03-23 00:00:00.000
John Lineker,2013-08-03 00:00:00.000
